emit_id,geometry,cloud_cover,centroid_x,centroid_y,cluster,region,fold
EMIT_L1B_RAD_001_20231018T132016_2329109_019,"POLYGON ((4.4311757 29.8255043, 3.89732 29.2622871, 4.4846072 28.705616, 5.0184631 29.2688332, 4.4311757 29.8255043))",29,4.4578915166573845,29.265560150194577,0.0,hassi,train
EMIT_L1B_RAD_001_20230403T111802_2309308_035,"POLYGON ((4.2900491 30.2516003, 3.6241183 29.6260319, 4.1665206 29.0486355, 4.8324513 29.6742039, 4.2900491 30.2516003))",4,4.228284816598157,29.650117899332827,0.0,hassi,train
EMIT_L1B_RAD_001_20231022T114452_2329508_015,"POLYGON ((4.5313563 30.1583748, 3.9973505 29.5862427, 4.5747266 29.0473442, 5.1087322 29.6194763, 4.5313563 30.1583748))",33,4.553041383372197,29.602859499004396,0.0,hassi,train
EMIT_L1B_RAD_001_20230806T095549_2321807_039,"POLYGON ((6.5674024 33.4369316, 5.83079 32.8164253, 6.3446174 32.2064476, 7.0812297 32.8269539, 6.5674024 33.4369316))",18,6.456009866641219,32.821689599859454,8.0,hassi,train
EMIT_L1B_RAD_001_20230929T122546_2327208_040,"POLYGON ((7.0203247 32.8598557, 6.2935219 32.2330933, 6.8106546 31.6334152, 7.5374575 32.2601776, 7.0203247 32.8598557))",39,6.915489683395603,32.24663545036424,8.0,hassi,train
EMIT_L1B_RAD_001_20230929T122558_2327208_041,"POLYGON ((7.6501541 33.3863831, 6.9051304 32.7591782, 7.4154282 32.1530228, 8.1604519 32.7802277, 7.6501541 33.3863831))",29,7.5327911499999995,32.769702949999996,8.0,hassi,train
EMIT_L1B_RAD_001_20230929T122459_2327208_036,"POLYGON ((4.5985312 30.727169, 3.9180274 30.0961952, 4.4526725 29.5195847, 5.1331763 30.1505585, 4.5985312 30.727169))",47,4.52560185,30.12337685,7.0,hassi,train
EMIT_L1B_RAD_001_20230216T133701_2304709_016,"POLYGON ((8.1790628 30.7412109, 7.6513343 30.1644096, 8.2554636 29.6116791, 8.7831917 30.1884804, 8.1790628 30.7412109))",10,8.217263066762426,30.176444998584262,1.0,hassi,train
EMIT_L1B_RAD_001_20231015T140944_2328809_016,"POLYGON ((7.6286469 31.5700626, 7.1063251 30.9869976, 7.7269573 30.4310246, 8.249279 31.0140896, 7.6286469 31.5700626))",7,7.677802066700693,31.00054359960575,1.0,hassi,train
EMIT_L1B_RAD_001_20231003T105033_2327607_041,"POLYGON ((7.9639063 33.1905708, 7.2321873 32.5691795, 7.7451096 31.9651909, 8.4768286 32.5865822, 7.9639063 33.1905708))",12,7.854507950000001,32.57788085000001,8.0,hassi,train
EMIT_L1B_RAD_001_20230929T122510_2327208_037,"POLYGON ((5.1924419 31.2653465, 4.5013037 30.6354523, 5.0319462 30.053215, 5.7230844 30.6831093, 5.1924419 31.2653465))",24,5.112194047781746,30.659280766580142,7.0,hassi,train
EMIT_L1B_RAD_001_20230220T115953_2305108_020,"POLYGON ((8.4693623 31.2748013, 7.939476 30.686842, 8.5531597 30.1337719, 9.083046 30.7217312, 8.4693623 31.2748013))",31,8.511261,30.7042866,1.0,hassi,train
EMIT_L1B_RAD_001_20231007T091320_2328006_034,"POLYGON ((4.712513 29.7329159, 4.0581741 29.1076107, 4.5996408 28.5410023, 5.2539797 29.1663074, 4.712513 29.7329159))",20,4.656076901585675,29.136959083411163,0.0,hassi,train
EMIT_L1B_RAD_001_20231126T131455_2333009_037,"POLYGON ((8.6913424 31.6818161, 7.9947696 31.0573006, 8.5232916 30.4677963, 9.2198639 31.0923119, 8.6913424 31.6818161))",8,8.607316830686113,31.07480621420948,1.0,hassi,train
EMIT_L1B_RAD_001_20230403T111814_2309308_036,"POLYGON ((4.8768616 30.7911644, 4.2005129 30.1659241, 4.7394104 29.5829735, 5.4157591 30.2082138, 4.8768616 30.7911644))",0,4.808135999999999,30.18706895,7.0,hassi,train
EMIT_L1B_RAD_001_20230929T122522_2327208_038,"POLYGON ((5.7950015 31.8008118, 5.0911746 31.1715317, 5.6172585 30.5831223, 6.3210855 31.2124023, 5.7950015 31.8008118))",42,5.706130035859219,31.191967033971117,5.0,hassi,train
EMIT_L1B_RAD_001_20230925T140134_2326809_039,"POLYGON ((6.0737715 32.5176277, 5.3571091 31.8941364, 5.8797369 31.2934074, 6.5963993 31.9168987, 6.0737715 32.5176277))",22,5.976754199999999,31.905517550000006,5.0,hassi,train
EMIT_L1B_RAD_001_20231003T104957_2327607_038,"POLYGON ((6.1209745 31.603693, 5.4263334 30.9799976, 5.9529972 30.3934231, 6.6476383 31.0171185, 6.1209745 31.603693))",24,6.03698585,30.99855805,5.0,hassi,train
EMIT_L1B_RAD_001_20230607T092704_2315806_031,"POLYGON ((8.0591526 31.6250153, 7.3648186 31.0013542, 7.8890553 30.4177132, 8.5833893 31.0413742, 8.0591526 31.6250153))",35,7.974103952359089,31.02136423341081,1.0,hassi,train
EMIT_L1B_RAD_001_20230219T124734_2305008_018,"POLYGON ((3.7194517 30.0715485, 3.1786218 29.4972229, 3.7678792 28.9423332, 4.3087091 29.5166588, 3.7194517 30.0715485))",24,3.7436654499999995,29.506940850000003,0.0,hassi,train
EMIT_L1B_RAD_001_20231007T091332_2328006_035,"POLYGON ((5.294302 30.2758026, 4.6287975 29.6510201, 5.1661854 29.0786057, 5.8316898 29.7033882, 5.294302 30.2758026))",42,5.230243666588655,29.67720414927102,7.0,hassi,train
EMIT_L1B_RAD_001_20231223T104823_2335707_002,"POLYGON ((8.0070391 32.3363991, 7.4857774 31.7373962, 8.120801 31.1847839, 8.6420631 31.7837868, 8.0070391 32.3363991))",0,8.063920183070158,31.76059150266413,1.0,hassi,train
EMIT_L1B_RAD_001_20230806T095502_2321807_035,"POLYGON ((4.1133242 31.3227005, 3.4257174 30.6982956, 3.9581175 30.1120033, 4.6457243 30.7364082, 4.1133242 31.3227005))",15,4.035720850000001,30.717351899999997,7.0,hassi,train
EMIT_L1B_RAD_001_20231223T104835_2335707_003,"POLYGON ((8.6190405 31.8067455, 8.0903597 31.2136097, 8.7111139 30.6603107, 9.2397947 31.2534466, 8.6190405 31.8067455))",1,8.665077201334833,31.23352811671293,1.0,hassi,train
EMIT_L1B_RAD_001_20230127T132945_2302709_037,"POLYGON ((3.8967409 31.3087292, 3.210171 30.6849918, 3.7416134 30.1000118, 4.4281836 30.7237492, 3.8967409 31.3087292))",36,3.8191772502050285,30.704370501597534,7.0,hassi,train
EMIT_L1B_RAD_001_20231003T104934_2327607_036,"POLYGON ((4.9292164 30.5291901, 4.2586002 29.9042892, 4.7945099 29.329174, 5.465126 29.9540749, 4.9292164 30.5291901))",30,4.861863116589107,29.929182049309073,7.0,hassi,train
EMIT_L1B_RAD_001_20231130T113824_2333408_036,"POLYGON ((8.390913 30.7292366, 7.7202368 30.1070061, 8.2575912 29.527813, 8.9282675 30.1500435, 8.390913 30.7292366))",15,8.324252133399483,30.128524800596118,1.0,hassi,train
EMIT_L1B_RAD_001_20230423T112844_2311308_015,"POLYGON ((6.7849054 32.5266342, 6.2603941 31.9252377, 6.8929405 31.3735619, 7.4174519 31.9749584, 6.7849054 32.5266342))",45,6.838922983266501,31.950098050713326,5.0,hassi,train
EMIT_L1B_RAD_001_20230925T140047_2326809_035,"POLYGON ((3.6711888 30.3793297, 2.9993963 29.7529335, 3.5383344 29.1749344, 4.2101269 29.8013306, 3.6711888 30.3793297))",7,3.6047615999999993,29.777132050000002,0.0,hassi,train
EMIT_L1B_RAD_001_20230806T095537_2321807_038,"POLYGON ((5.9426589 32.9136963, 5.2186532 32.2920303, 5.7372842 31.6880188, 6.4612899 32.3096848, 5.9426589 32.9136963))",15,5.83997155,32.300857549999996,5.0,hassi,train
EMIT_L1B_RAD_001_20230216T133626_2304709_013,"POLYGON ((6.3818898 32.3309059, 5.8690791 31.7392292, 6.4874568 31.2032738, 7.0002675 31.7949505, 6.3818898 32.3309059))",14,6.4346733,31.767089849999998,5.0,hassi,train
EMIT_L1B_RAD_001_20230228T085111_2305906_007,"POLYGON ((7.0995207 32.7559776, 6.5810528 32.1560631, 7.2205524 31.6033821, 7.7390203 32.2032967, 7.0995207 32.7559776))",50,7.160036551742668,32.17967986673776,8.0,hassi,train
EMIT_L1B_RAD_001_20230929T122447_2327208_035,"POLYGON ((4.0114961 30.1856651, 3.3420057 29.5549316, 3.8798676 28.9840202, 4.5493579 29.6147537, 4.0114961 30.1856651))",15,3.9456818165757146,29.584842649169698,0.0,hassi,train
EMIT_L1B_RAD_001_20230131T115207_2303108_038,"POLYGON ((4.8254938 31.2067966, 4.1405449 30.5825977, 4.6710634 30.0004444, 5.3560123 30.6246433, 4.8254938 31.2067966))",6,4.748278600000001,30.603620499999998,7.0,hassi,train
EMIT_L1B_RAD_001_20230216T133637_2304709_014,"POLYGON ((6.9879851 31.8042488, 6.4698377 31.2180443, 7.0835443 30.6755867, 7.6016917 31.2617912, 6.9879851 31.8042488))",37,7.0357647000000005,31.239917749999996,5.0,hassi,train
EMIT_L1B_RAD_001_20231030T083339_2330306_003,"POLYGON ((4.8187981 30.8343544, 4.2859097 30.2555885, 4.8885546 29.7007103, 5.421443 30.2794762, 4.8187981 30.8343544))",9,4.85367635,30.267532349999996,7.0,hassi,train
EMIT_L1B_RAD_001_20231025T170430_2329811_006,"POLYGON ((-107.5900574 39.5639725, -108.0209198 38.8917923, -107.2016449 38.3666534, -106.7707825 39.0388336, -107.5900574 39.5639725))",49,-107.39585115,38.96531295,1.0,colorado,train
EMIT_L1B_RAD_001_20231025T170342_2329811_002,"POLYGON ((-110.6476746 41.3771706, -111.0423431 40.6873741, -110.1604767 40.1828117, -109.7658081 40.8726082, -110.6476746 41.3771706))",47,-110.40407561759808,40.7799911522833,7.0,colorado,train
EMIT_L1B_RAD_001_20231016T210419_2328914_017,"POLYGON ((-110.4748611 36.6375885, -110.9418106 36.0028458, -110.2048874 35.4607239, -109.7379379 36.0954666, -110.4748611 36.6375885))",1,-110.33987425,36.049156200000006,8.0,colorado,train
EMIT_L1B_RAD_001_20230831T152624_2324310_003,"POLYGON ((-110.9266891 36.2573509, -111.4068985 35.6174202, -110.6820908 35.0735207, -110.2018814 35.7134514, -110.9266891 36.2573509))",18,-110.80438995,35.6654358,0.0,colorado,train
EMIT_L1B_RAD_001_20230623T184533_2317412_016,"POLYGON ((-111.292923 35.9771461, -111.7720032 35.3461952, -111.055603 34.8022194, -110.5765228 35.4331703, -111.292923 35.9771461))",1,-111.174263,35.38968275,0.0,colorado,train
EMIT_L1B_RAD_001_20231025T170442_2329811_007,"POLYGON ((-106.857132 39.095768, -107.2912292 38.4296074, -106.4832458 37.9031029, -106.0491486 38.5692635, -106.857132 39.095768))",11,-106.67018890000001,38.49943545,1.0,colorado,train
EMIT_L1B_RAD_001_20231020T192759_2329313_019,"POLYGON ((-109.0288467 36.1358871, -109.5108414 35.4994888, -108.7919693 34.9550247, -108.3099747 35.591423, -109.0288467 36.1358871))",4,-108.91040803308127,35.54545589874336,8.0,colorado,train
EMIT_L1B_RAD_001_20230809T165314_2322111_020,"POLYGON ((-107.6929703 39.8797035, -108.6265488 39.2968178, -108.2034531 38.619175, -107.2698746 39.2020607, -107.6929703 39.8797035))",3,-107.94821169999999,39.249439249999995,1.0,colorado,train
EMIT_L1B_RAD_001_20230416T213723_2310614_014,"POLYGON ((-111.9025574 36.6229973, -112.3775635 35.9791069, -111.6432343 35.4373741, -111.1682281 36.0812645, -111.9025574 36.6229973))",6,-111.772895816969,36.03018570138236,0.0,colorado,train
EMIT_L1B_RAD_001_20230202T193746_2303313_010,"POLYGON ((-110.199379 41.3821335, -111.1895523 40.8149796, -110.7953568 40.1267548, -109.8051834 40.6939087, -110.199379 41.3821335))",48,-110.49736786733108,40.75444414860052,7.0,colorado,train
EMIT_L1B_RAD_001_20230605T185045_2315613_015,"POLYGON ((-107.9250946 41.7892685, -109.5255127 40.8904724, -109.1383972 40.2011642, -107.5379791 41.0999603, -107.9250946 41.7892685))",46,-108.53174589999999,40.99521635000001,5.0,colorado,train
EMIT_L1B_RAD_001_20231020T192747_2329313_018,"POLYGON ((-109.7094345 36.6330185, -110.1833878 35.9913559, -109.4493332 35.4491425, -108.9753799 36.0908051, -109.7094345 36.6330185))",2,-109.57938385,36.04108049999999,8.0,colorado,train
EMIT_L1B_RAD_001_20231025T170406_2329811_004,"POLYGON ((-109.0964203 40.4835739, -109.5116577 39.8009109, -108.6628418 39.2846069, -108.2476044 39.9672699, -109.0964203 40.4835739))",14,-108.87963105000001,39.884090400000005,5.0,colorado,train
EMIT_L1B_RAD_001_20230809T165326_2322111_021,"POLYGON ((-106.9358902 40.3375816, -107.8853836 39.7607918, -107.4712143 39.0789986, -106.5217209 39.6557884, -106.9358902 40.3375816))",3,-107.20355225000002,39.7082901,1.0,colorado,train
EMIT_L1B_RAD_001_20231009T170001_2328211_013,"POLYGON ((-110.3780823 40.5663033, -111.3343353 39.9928169, -110.9255371 39.3111687, -109.9692841 39.884655, -110.3780823 40.5663033))",10,-110.65180969297332,39.938735982776564,7.0,colorado,train
EMIT_L1B_RAD_001_20230417T204846_2310714_010,"POLYGON ((-110.6811523 39.8661079, -111.1047668 39.1860847, -110.2688141 38.6653328, -109.8451996 39.345356, -110.6811523 39.8661079))",32,-110.4749832,39.26572035,7.0,colorado,train
EMIT_L1B_RAD_001_20230420T200053_2311013_016,"POLYGON ((-111.0959244 36.5937157, -111.5725327 35.9491158, -110.83918 35.4068794, -110.3625717 36.0514793, -111.0959244 36.5937157))",1,-110.96755220000001,36.00029755,0.0,colorado,train
EMIT_L1B_RAD_001_20231006T174849_2327912_017,"POLYGON ((-106.0609436 39.9459534, -106.9974518 39.366333, -106.5802765 38.6923065, -105.6437683 39.2719269, -106.0609436 39.9459534))",5,-106.32061004999997,39.31912995,1.0,colorado,train
EMIT_L1B_RAD_001_20230609T171110_2316011_012,"POLYGON ((-110.6762619 39.3809471, -111.6042099 38.7841911, -111.175499 38.1175499, -110.247551 38.7143059, -110.6762619 39.3809471))",31,-110.92588045,38.7492485,7.0,colorado,train
EMIT_L1B_RAD_001_20231006T174726_2327912_010,"POLYGON ((-111.0815964 36.5940666, -111.9073105 35.987545, -111.4374924 35.3479424, -110.6117783 35.954464, -111.0815964 36.5940666))",2,-111.25954440000001,35.97100450000001,0.0,colorado,train
EMIT_L1B_RAD_001_20230627T170725_2317811_017,"POLYGON ((-110.111824 35.9632339, -110.5890274 35.3351898, -109.8719254 34.7903214, -109.394722 35.4183655, -110.111824 35.9632339))",1,-109.9918747,35.37677765000001,8.0,colorado,train
EMIT_L1B_RAD_001_20231009T165949_2328211_012,"POLYGON ((-111.1410217 40.1110077, -112.0805664 39.5322723, -111.6632385 38.8547668, -110.7236938 39.4335022, -111.1410217 40.1110077))",10,-111.40213010000001,39.482887250000005,7.0,colorado,train
EMIT_L1B_RAD_001_20230420T200105_2311013_017,"POLYGON ((-110.4177704 36.0961838, -110.9005737 35.4571152, -110.1798706 34.9126282, -109.6970673 35.5516968, -110.4177704 36.0961838))",1,-110.29882049999999,35.504406,8.0,colorado,train
EMIT_L1B_RAD_001_20230628T161750_2317911_006,"POLYGON ((-110.3930817 40.2943344, -110.8042755 39.6186981, -109.9569702 39.1030426, -109.5457764 39.7786789, -110.3930817 40.2943344))",26,-110.17502594999998,39.6986885,7.0,colorado,train
EMIT_L1B_RAD_001_20231005T183625_2327812_015,"POLYGON ((-110.6960678 40.800827, -111.6626053 40.2292938, -111.2580795 39.5451965, -110.2915421 40.1167297, -110.6960678 40.800827))",5,-110.9770736827426,40.173011751319834,7.0,colorado,train
EMIT_L1B_RAD_001_20230203T184826_2303413_002,"POLYGON ((-111.1479492 36.9120064, -111.9813232 36.3067665, -111.5109711 35.6591301, -110.677597 36.26437, -111.1479492 36.9120064))",40,-111.32946011682225,36.28556824946307,0.0,colorado,train
EMIT_L1B_RAD_001_20231010T161057_2328311_005,"POLYGON ((-110.4862213 36.4844246, -111.3067017 35.8758202, -110.8332672 35.2375679, -110.0127869 35.8461723, -110.4862213 36.4844246))",14,-110.65974428322771,35.86099625037947,0.0,colorado,train
EMIT_L1B_RAD_001_20230421T191201_2311113_012,"POLYGON ((-110.3071442 40.1051292, -110.7308197 39.4192848, -109.8900757 38.8999214, -109.4664001 39.5857658, -110.3071442 40.1051292))",40,-110.09860991739296,39.5025253020988,7.0,colorado,train
EMIT_L1B_RAD_001_20231017T201447_2329013_014,"POLYGON ((-111.2249908 41.0971718, -111.6221161 40.4165535, -110.7502289 39.9078331, -110.3531036 40.5884514, -111.2249908 41.0971718))",9,-110.98760984999998,40.502502449999994,7.0,colorado,train
EMIT_L1B_RAD_001_20231006T174837_2327912_016,"POLYGON ((-106.8104782 39.4834595, -107.7273636 38.8971176, -107.2995682 38.2281494, -106.3826828 38.8144913, -106.8104782 39.4834595))",7,-107.0550232,38.85580445000001,1.0,colorado,train
EMIT_L1B_RAD_001_20230606T180105_2315712_012,"POLYGON ((-109.2444916 37.0713577, -110.0797272 36.4670563, -109.6153564 35.8252258, -108.7801208 36.4295273, -109.2444916 37.0713577))",48,-109.42992400491796,36.44829176680868,8.0,colorado,train
EMIT_L1B_RAD_001_20230628T161738_2317911_005,"POLYGON ((-111.1608734 40.7466202, -111.5626984 40.0673599, -110.6993103 39.5566177, -110.2974854 40.235878, -111.1608734 40.7466202))",48,-110.9300918825146,40.15161894788916,7.0,colorado,train
EMIT_L1B_RAD_001_20230624T175617_2317512_010,"POLYGON ((-110.8319397 39.8399582, -111.2520294 39.1682739, -110.4211426 38.648613, -110.0010529 39.3202972, -110.8319397 39.8399582))",4,-110.62654115551584,39.24428558266303,7.0,colorado,train
EMIT_L1B_RAD_001_20231021T183941_2329412_017,"POLYGON ((-107.928772 39.4753761, -108.3577118 38.8025017, -107.534256 38.2775688, -107.1053162 38.9504433, -107.928772 39.4753761))",6,-107.73151399471614,38.87647246729083,1.0,colorado,train
EMIT_L1B_RAD_001_20231009T170013_2328211_014,"POLYGON ((-109.6034393 41.0149078, -110.5766602 40.4487076, -110.1778107 39.7631531, -109.2045898 40.3293533, -109.6034393 41.0149078))",6,-109.890625,40.38903045,5.0,colorado,train
EMIT_L1B_RAD_001_20231006T174825_2327912_015,"POLYGON ((-107.5486755 39.0147552, -108.4483032 38.4246216, -108.0119019 37.7593384, -107.1122742 38.349472, -107.5486755 39.0147552))",5,-107.7802887,38.38704680000001,1.0,colorado,train
EMIT_L1B_RAD_001_20231025T170354_2329811_003,"POLYGON ((-109.8696823 40.9336967, -110.2728958 40.2471123, -109.4040756 39.7368889, -109.0008621 40.4234734, -109.8696823 40.9336967))",21,-109.63687894384785,40.33529281751964,5.0,colorado,train
EMIT_L1B_RAD_001_20231021T183953_2329412_018,"POLYGON ((-107.1880569 39.0060425, -107.6267166 38.3392868, -106.2690353 37.4460754, -105.8303757 38.1128311, -107.1880569 39.0060425))",3,-106.72854613467044,38.226058952269646,1.0,colorado,train
EMIT_L1B_RAD_001_20230605T185033_2315613_014,"POLYGON ((-109.3177261 41.0042992, -110.289711 40.436512, -109.8921432 39.7559319, -108.9201584 40.323719, -109.3177261 41.0042992))",9,-109.60493467533591,40.38011553404731,5.0,colorado,train
EMIT_L1B_RAD_001_20230729T205429_2321014_012,"POLYGON ((-109.8424988 35.9629364, -110.6486206 35.3506851, -110.1650391 34.7139816, -109.3589172 35.3262329, -109.8424988 35.9629364))",46,-110.00376891674786,35.33845899968555,8.0,colorado,train
EMIT_L1B_RAD_001_20230202T193734_2303313_009,"POLYGON ((-110.9804916 40.9372215, -111.954155 40.36343, -111.5503616 39.6782494, -110.5766983 40.2520409, -110.9804916 40.9372215))",20,-111.26542663274482,40.30773545130017,7.0,colorado,train
EMIT_L1B_RAD_001_20230927T214753_2327014_014,"POLYGON ((-110.3543777 41.6395035, -112.0804825 40.657402, -111.6868668 39.9655991, -109.960762 40.9477005, -110.3543777 41.6395035))",11,-111.02062223510937,40.80255128537262,7.0,colorado,train
EMIT_L1B_RAD_001_20231017T201535_2329013_018,"POLYGON ((-108.1905594 39.2687645, -108.618187 38.6063347, -107.5327835 37.9056664, -107.1051559 38.5680962, -108.1905594 39.2687645))",7,-107.86167145000002,38.587215449999995,1.0,colorado,train
EMIT_L1B_RAD_001_20231017T201459_2329013_015,"POLYGON ((-110.4514313 40.6498871, -110.8558044 39.9726028, -109.9979095 39.4603958, -109.5935364 40.1376801, -110.4514313 40.6498871))",31,-110.22467040000001,40.05514145000001,7.0,colorado,train
EMIT_L1B_RAD_001_20230416T213735_2310614_015,"POLYGON ((-111.2227478 36.1253395, -111.7043152 35.4871407, -110.9836731 34.9433632, -110.5021057 35.581562, -111.2227478 36.1253395))",1,-111.10321045000002,35.53435135,0.0,colorado,train
EMIT_L1B_RAD_001_20230624T175605_2317512_009,"POLYGON ((-111.5890427 40.2986679, -112.0010757 39.6221542, -111.1534195 39.1058884, -110.7413864 39.782402, -111.5890427 40.2986679))",5,-111.37123107322331,39.70227813461945,7.0,colorado,train
EMIT_L1B_RAD_001_20230627T170713_2317811_016,"POLYGON ((-110.7879868 36.4627876, -111.2593307 35.8290443, -110.5293045 35.2860832, -110.0579605 35.9198265, -110.7879868 36.4627876))",1,-110.65864561693901,35.87443540123885,0.0,colorado,train
EMIT_L1B_RAD_001_20231005T183637_2327812_016,"POLYGON ((-109.9214554 41.2456436, -110.8961411 40.6826172, -110.4987259 39.9946442, -109.5240402 40.5576706, -109.9214554 41.2456436))",34,-110.21009065,40.6201439,7.0,colorado,train
EMIT_L1B_RAD_001_20230809T165338_2322111_022,"POLYGON ((-106.1682587 40.7903938, -107.1343384 40.2195625, -106.7289886 39.5335503, -105.7629089 40.1043816, -106.1682587 40.7903938))",13,-106.44862365000002,40.16197205,1.0,colorado,train
EMIT_L1B_RAD_001_20230609T171121_2316011_013,"POLYGON ((-109.9282532 39.8455505, -110.8765564 39.2540741, -110.4580231 38.583046, -109.5097198 39.1745224, -109.9282532 39.8455505))",11,-110.193138117064,39.214298249053094,7.0,colorado,train
EMIT_L1B_RAD_001_20231201T183601_2333512_017,"POLYGON ((-101.1024628 32.8702927, -101.8253021 32.2491035, -101.3076477 31.6467514, -100.5848083 32.2679405, -101.1024628 32.8702927))",31,-101.20505521382202,32.25852203362961,8.0,permian,train
EMIT_L1B_RAD_001_20230620T193644_2317113_023,"POLYGON ((-102.3338318 32.9209518, -102.8481598 32.3218307, -102.2061005 31.7706375, -101.6917725 32.3697586, -102.3338318 32.9209518))",38,-102.26996615,32.34579465,1.0,permian,train
EMIT_L1B_RAD_001_20230324T221330_2308315_010,"POLYGON ((-102.4511108 30.6473694, -103.1238708 30.0229149, -102.5863647 29.4438324, -101.9136047 30.0682869, -102.4511108 30.6473694))",0,-102.51873774999999,30.0456009,0.0,permian,train
EMIT_L1B_RAD_001_20231201T183613_2333512_018,"POLYGON ((-99.8617706 33.9010315, -101.2179565 32.7789612, -100.709671 32.1646271, -99.3534851 33.2866974, -99.8617706 33.9010315))",20,-100.28572079999999,33.0328293,7.0,permian,train
EMIT_L1B_RAD_001_20230608T162346_2315911_016,"POLYGON ((-101.9815903 33.1017952, -102.711937 32.4795189, -102.2016525 31.880619, -101.4713058 32.5028954, -101.9815903 33.1017952))",1,-102.09162140301366,32.49120711660988,1.0,permian,train
EMIT_L1B_RAD_001_20231127T201313_2333113_017,"POLYGON ((-99.2161636 35.0166702, -100.0908127 34.3252945, -99.5955887 33.6988068, -98.7209396 34.3901825, -99.2161636 35.0166702))",12,-99.40587615,34.357738499999996,7.0,permian,train
EMIT_L1B_RAD_001_20230327T212654_2308614_017,"POLYGON ((-103.3770981 34.6077194, -104.1452713 33.9907074, -103.6455002 33.3684921, -102.877327 33.9855042, -103.3770981 34.6077194))",5,-103.5112991536066,33.988105766681464,5.0,permian,train
EMIT_L1B_RAD_001_20230205T171319_2303612_009,"POLYGON ((-102.7493896 34.1287308, -103.545639 33.4762726, -103.0442352 32.864357, -102.2479858 33.5168152, -102.7493896 34.1287308))",4,-102.89681240000002,33.496543900000006,5.0,permian,train
